PID,Speed,MPE,Correct,RT,Effective_Duration_s
3,1.5,4,1,0.901,1.8031
3,1.5,8,1,1.0598,1.8021
3,5.0,4,0,0.9061,1.8034
3,5.0,2,1,0.6547,1.8067
3,15.0,8,1,1.8492,0.6547
3,15.0,4,0,0.142,0.6653
3,1.5,4,0,0.8764,1.7987
3,15.0,2,1,1.3037,0.6692
3,5.0,8,1,0.7068,1.802
3,15.0,4,0,0.174,0.6555
3,1.5,8,1,0.9952,1.8025
3,15.0,8,1,1.1331,0.6586
3,15.0,8,1,1.1626,0.6686
3,0.0,8,1,1.0792,1.8004
3,1.5,2,0,0.8722,1.7992
3,15.0,4,1,1.1883,0.6674
3,0.0,2,0,0.8445,1.8087
3,0.0,8,1,0.5962,1.8051
3,1.5,4,1,0.8524,1.8046
3,0.0,2,1,0.9458,1.8095
3,1.5,2,1,0.8129,1.8066
3,15.0,8,1,0.8663,0.6631
3,1.5,2,0,0.8446,1.8006
3,15.0,4,1,1.1469,0.6536
3,15.0,2,0,1.2757,0.6559
3,0.0,8,1,0.8335,1.803
3,15.0,4,1,1.1966,0.6596
3,5.0,8,1,0.119,1.8067
3,5.0,2,1,0.5191,1.7986
3,5.0,4,1,0.6343,1.8068
3,0.0,2,1,0.7466,1.8042
3,15.0,2,0,1.1803,0.6621
3,5.0,8,1,0.7893,1.8089
3,1.5,4,1,0.8253,1.8077
3,0.0,2,1,0.8819,1.8064
3,1.5,8,0,0.7707,1.8043
3,1.5,4,1,0.9928,1.8071
3,5.0,2,1,0.7491,1.8009
3,1.5,4,1,1.1259,1.8064
3,0.0,4,1,1.0687,1.8025
3,0.0,8,1,1.1879,1.8023
3,1.5,2,1,0.7068,1.7961
3,1.5,8,1,0.8379,1.8072
3,15.0,8,1,0.9892,0.6657
3,15.0,4,0,1.1402,0.6545
3,15.0,4,1,1.2593,0.6688
3,5.0,4,1,0.7728,1.8067
3,1.5,8,0,0.9487,1.8029
3,5.0,8,1,0.6914,1.7989
3,0.0,8,1,0.9292,1.806
3,1.5,2,1,0.5423,1.7997
3,0.0,2,1,0.8774,1.8081
3,0.0,2,1,0.8192,1.8024
3,5.0,2,0,0.7903,1.8036
3,0.0,2,1,1.0311,1.8016
3,5.0,8,1,0.7027,1.8107
3,15.0,2,0,1.2242,0.6678
3,0.0,4,1,0.7766,1.8049
3,15.0,4,0,1.0061,0.6643
3,5.0,8,1,0.8407,1.806
3,0.0,4,1,0.9694,1.8059
3,0.0,8,1,0.8093,1.8016
3,15.0,4,0,1.1257,0.6672
3,15.0,2,0,1.2399,0.663
3,5.0,4,1,0.6291,1.8045
3,0.0,8,1,0.7427,1.8045
3,0.0,4,1,0.7714,1.8002
3,0.0,2,1,0.8092,1.8116
3,0.0,4,1,0.6159,1.7997
3,1.5,8,1,0.7982,1.8042
3,15.0,8,1,1.4234,0.6578
3,5.0,2,1,0.9824,1.8033
3,5.0,2,0,0.9534,1.8045
3,15.0,2,0,1.5265,0.6659
